Work_Order_ID,Batch_ID,Product_Code,Master_Recipe_ID,Batch_Phase,Phase_Step,Parameter_Name,Parameter_Value,Performed_By,Verified_By,Execution_Timestamp,Execution_Status,Equipment_ID
WO-2025197,B2025197,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Excipient X,MAT-001,89.59,OP-kyle12,OP-rachaelclark,2025-01-25 23:17:00,,N/A
WO-2025197,B2025197,PROD-004,RECIPE-PROD-004-V2,Manufacturing,Heating Step,Temperature,70.1,OP-cramos,OP-hoffmanalvin,2025-01-26 00:56:00,Within Spec,EQP006
WO-2025197,B2025197,PROD-004,RECIPE-PROD-004-V2,Manufacturing,pH Adjustment,pH,6.12,OP-cramos,OP-veronicascott,2025-01-26 02:56:00,Out of Spec,EQP006
WO-2025197,B2025197,Product D,RECIPE-PROD-004-V2,Packaging,Final Label Check,Label Verification,Pass,OP-cramos,OP-thomas69,2025-01-26 06:56:00,Completed,PKG-LINE-01
WO-2025183,B2025183,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Excipient X,MAT-001,94.47,OP-garzaeric,OP-dsmith,2024-09-15 14:11:22,,N/A
WO-2025183,B2025183,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Coating Agent Z,MAT-003,55.19,OP-dsmith,OP-istanton,2024-09-15 14:19:22,,N/A
WO-2025183,B2025183,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,77.65,OP-wagnerjason,OP-hoffmanalvin,2024-09-15 14:09:22,,N/A
WO-2025183,B2025183,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,81.6,OP-veronicascott,OP-dana45,2024-09-15 15:54:22,Out of Spec,EQP004
WO-2025183,B2025183,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,7.02,OP-veronicascott,OP-hoffmanalvin,2024-09-15 17:54:22,Within Spec,EQP004
WO-2025183,B2025183,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-veronicascott,OP-kyle12,2024-09-15 21:54:22,Completed,PKG-LINE-01
WO-2025075,B2025075,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Coating Agent Z,MAT-003,75.33,OP-istanton,OP-thomas69,2025-03-30 14:21:44,,N/A
WO-2025075,B2025075,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Excipient X,MAT-001,52.59,OP-john51,OP-cramos,2025-03-30 14:21:44,,N/A
WO-2025075,B2025075,PROD-003,RECIPE-PROD-003-V1,Manufacturing,Heating Step,Temperature,80.0,OP-hoffmanalvin,OP-wagnerjason,2025-03-30 16:09:44,Within Spec,EQP005
WO-2025075,B2025075,PROD-003,RECIPE-PROD-003-V1,Manufacturing,pH Adjustment,pH,6.65,OP-hoffmanalvin,OP-cramos,2025-03-30 18:09:44,Within Spec,EQP005
WO-2025022,B2025022,PROD-002,RECIPE-PROD-002-V3,Dispensing,Dispense Excipient X,MAT-001,91.92,OP-cody37,,2025-06-16 02:10:31,,N/A
WO-2025022,B2025022,PROD-002,RECIPE-PROD-002-V3,Dispensing,Dispense API-Alpha,MAT-002,84.61,OP-cramos,OP-thomas69,2025-06-16 02:07:31,,N/A
WO-2025022,B2025022,PROD-002,RECIPE-PROD-002-V3,Manufacturing,Heating Step,Temperature,72.4,OP-kyle12,OP-veronicascott,2025-06-16 03:48:31,Within Spec,EQP003
WO-2025022,B2025022,PROD-002,RECIPE-PROD-002-V3,Manufacturing,pH Adjustment,pH,7.12,OP-kyle12,OP-rachaelclark,2025-06-16 05:48:31,Within Spec,EQP003
WO-2025137,B2025137,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Coating Agent Z,MAT-003,74.41,OP-dsmith,OP-cramos,2025-03-21 12:30:32,,N/A
WO-2025137,B2025137,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense API-Alpha,MAT-002,95.67,OP-thomas69,OP-kyle12,2025-03-21 12:29:32,,N/A
WO-2025137,B2025137,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Excipient X,MAT-001,79.85,OP-dsmith,OP-cody37,2025-03-21 12:16:32,,N/A
WO-2025137,B2025137,PROD-001,RECIPE-PROD-001-V2,Manufacturing,Heating Step,Temperature,73.8,OP-garzaeric,OP-dana45,2025-03-21 14:03:32,Within Spec,EQP006
WO-2025137,B2025137,PROD-001,RECIPE-PROD-001-V2,Manufacturing,pH Adjustment,pH,6.77,OP-garzaeric,OP-veronicascott,2025-03-21 16:03:32,Within Spec,EQP006
WO-2025117,B2025117,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense API-Alpha,MAT-002,63.78,OP-cody37,OP-istanton,2024-11-07 02:04:47,,N/A
WO-2025117,B2025117,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense Excipient X,MAT-001,86.21,OP-john51,OP-wagnerjason,2024-11-07 02:13:47,,N/A
WO-2025117,B2025117,PROD-001,RECIPE-PROD-001-V3,Manufacturing,Heating Step,Temperature,74.2,OP-veronicascott,OP-istanton,2024-11-07 03:59:47,Within Spec,EQP005
WO-2025117,B2025117,PROD-001,RECIPE-PROD-001-V3,Manufacturing,pH Adjustment,pH,6.83,OP-veronicascott,OP-garzaeric,2024-11-07 05:59:47,Within Spec,EQP005
WO-2025009,B2025009,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,81.27,OP-dana45,OP-cody37,2024-10-17 01:41:43,,N/A
WO-2025009,B2025009,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Excipient X,MAT-001,81.68,OP-hoffmanalvin,OP-wagnerjason,2024-10-17 01:53:43,,N/A
WO-2025009,B2025009,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Coating Agent Z,MAT-003,57.64,OP-thomas69,OP-wagnerjason,2024-10-17 01:48:43,,N/A
WO-2025009,B2025009,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,84.1,OP-efigueroa,OP-efigueroa,2024-10-17 03:35:43,Out of Spec,EQP004
WO-2025009,B2025009,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,7.47,OP-efigueroa,OP-thomas69,2024-10-17 05:35:43,Within Spec,EQP004
WO-2025009,B2025009,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-efigueroa,OP-kyle12,2024-10-17 09:35:43,Completed,PKG-LINE-01
WO-2025095,B2025095,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Coating Agent Z,MAT-003,69.48,OP-cramos,OP-cody37,2024-12-31 13:10:46,,N/A
WO-2025095,B2025095,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Excipient X,MAT-001,60.64,OP-kyle12,OP-dsmith,2024-12-31 13:27:46,,N/A
WO-2025095,B2025095,PROD-004,RECIPE-PROD-004-V2,Manufacturing,Heating Step,Temperature,77.6,OP-istanton,OP-cramos,2024-12-31 15:00:46,Within Spec,EQP006
WO-2025095,B2025095,PROD-004,RECIPE-PROD-004-V2,Manufacturing,pH Adjustment,pH,6.94,OP-istanton,OP-rachaelclark,2024-12-31 17:00:46,Within Spec,EQP006
WO-2025095,B2025095,Product D,RECIPE-PROD-004-V2,Packaging,Final Label Check,Label Verification,Pass,OP-istanton,OP-efigueroa,2024-12-31 21:00:46,Completed,PKG-LINE-01
WO-2025080,B2025080,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,52.73,OP-istanton,OP-dana45,2024-07-08 00:27:39,,N/A
WO-2025080,B2025080,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,80.98,OP-efigueroa,OP-dana45,2024-07-08 00:22:39,,N/A
WO-2025080,B2025080,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,50.99,OP-efigueroa,OP-thomas69,2024-07-08 00:38:39,,N/A
WO-2025080,B2025080,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,71.4,OP-rachaelclark,OP-rachaelclark,2024-07-08 02:08:39,Within Spec,EQP003
WO-2025080,B2025080,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.23,OP-rachaelclark,OP-kyle12,2024-07-08 04:08:39,Out of Spec,EQP003
WO-2025080,B2025080,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-rachaelclark,OP-wagnerjason,2024-07-08 08:08:39,Completed,PKG-LINE-01
WO-2025175,B2025175,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,54.83,OP-dsmith,OP-rachaelclark,2024-07-16 01:54:20,,N/A
WO-2025175,B2025175,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,60.74,OP-wagnerjason,OP-thomas69,2024-07-16 01:50:20,,N/A
WO-2025175,B2025175,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,80.2,OP-cramos,OP-dsmith,2024-07-16 03:29:20,Out of Spec,EQP004
WO-2025175,B2025175,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,7.08,OP-cramos,OP-thomas69,2024-07-16 05:29:20,Within Spec,EQP004
WO-2025182,B2025182,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,85.62,OP-garzaeric,OP-hoffmanalvin,2024-12-30 11:18:01,,N/A
WO-2025182,B2025182,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Excipient X,MAT-001,59.33,OP-thomas69,OP-john51,2024-12-30 11:24:01,,N/A
WO-2025182,B2025182,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,81.2,OP-garzaeric,OP-kyle12,2024-12-30 12:58:01,Out of Spec,EQP001
WO-2025182,B2025182,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,7.56,OP-garzaeric,OP-istanton,2024-12-30 14:58:01,Out of Spec,EQP001
WO-2025182,B2025182,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-garzaeric,OP-kyle12,2024-12-30 18:58:01,Completed,PKG-LINE-01
WO-2025055,B2025055,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,78.72,OP-veronicascott,OP-john51,2025-02-12 20:39:30,,N/A
WO-2025055,B2025055,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,98.55,OP-dana45,OP-cramos,2025-02-12 20:42:30,,N/A
WO-2025055,B2025055,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,78.8,OP-kyle12,OP-hoffmanalvin,2025-02-12 22:34:30,Within Spec,EQP004
WO-2025055,B2025055,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.84,OP-kyle12,OP-efigueroa,2025-02-13 00:34:30,Within Spec,EQP004
WO-2025055,B2025055,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-kyle12,OP-veronicascott,2025-02-13 04:34:30,Completed,PKG-LINE-01
WO-2025158,B2025158,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Excipient X,MAT-001,64.88,OP-john51,OP-rachaelclark,2025-02-28 19:12:56,,N/A
WO-2025158,B2025158,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense API-Alpha,MAT-002,71.4,OP-garzaeric,OP-thomas69,2025-02-28 19:19:56,,N/A
WO-2025158,B2025158,PROD-003,RECIPE-PROD-003-V1,Manufacturing,Heating Step,Temperature,76.5,OP-dsmith,OP-john51,2025-02-28 20:51:56,Within Spec,EQP005
WO-2025158,B2025158,PROD-003,RECIPE-PROD-003-V1,Manufacturing,pH Adjustment,pH,7.65,OP-dsmith,OP-veronicascott,2025-02-28 22:51:56,Out of Spec,EQP005
WO-2025091,B2025091,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense API-Alpha,MAT-002,93.56,OP-istanton,OP-garzaeric,2025-04-22 18:28:33,,N/A
WO-2025091,B2025091,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Excipient X,MAT-001,63.62,OP-wagnerjason,OP-veronicascott,2025-04-22 18:41:33,,N/A
WO-2025091,B2025091,PROD-001,RECIPE-PROD-001-V2,Manufacturing,Heating Step,Temperature,74.6,OP-rachaelclark,OP-hoffmanalvin,2025-04-22 20:14:33,Within Spec,EQP003
WO-2025091,B2025091,PROD-001,RECIPE-PROD-001-V2,Manufacturing,pH Adjustment,pH,6.8,OP-rachaelclark,OP-istanton,2025-04-22 22:14:33,Within Spec,EQP003
WO-2025199,B2025199,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Excipient X,MAT-001,79.19,OP-john51,OP-wagnerjason,2024-07-12 03:39:25,,N/A
WO-2025199,B2025199,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense API-Alpha,MAT-002,99.97,OP-dana45,OP-rachaelclark,2024-07-12 03:32:25,,N/A
WO-2025199,B2025199,PROD-002,RECIPE-PROD-002-V2,Manufacturing,Heating Step,Temperature,81.4,OP-istanton,OP-istanton,2024-07-12 05:22:25,Out of Spec,EQP002
WO-2025199,B2025199,PROD-002,RECIPE-PROD-002-V2,Manufacturing,pH Adjustment,pH,7.64,OP-istanton,OP-thomas69,2024-07-12 07:22:25,Out of Spec,EQP002
WO-2025077,B2025077,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Excipient X,MAT-001,52.03,OP-veronicascott,OP-cody37,2025-06-06 00:50:20,,N/A
WO-2025077,B2025077,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Coating Agent Z,MAT-003,72.36,OP-john51,OP-hoffmanalvin,2025-06-06 00:52:20,,N/A
WO-2025077,B2025077,PROD-001,RECIPE-PROD-001-V2,Manufacturing,Heating Step,Temperature,74.1,OP-wagnerjason,OP-dana45,2025-06-06 02:22:20,Within Spec,EQP004
WO-2025077,B2025077,PROD-001,RECIPE-PROD-001-V2,Manufacturing,pH Adjustment,pH,6.64,OP-wagnerjason,OP-thomas69,2025-06-06 04:22:20,Within Spec,EQP004
WO-2025188,B2025188,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Excipient X,MAT-001,56.52,OP-efigueroa,OP-john51,2025-03-16 08:25:46,,N/A
WO-2025188,B2025188,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Coating Agent Z,MAT-003,76.99,OP-thomas69,OP-veronicascott,2025-03-16 08:15:46,,N/A
WO-2025188,B2025188,PROD-004,RECIPE-PROD-004-V2,Manufacturing,Heating Step,Temperature,82.1,OP-hoffmanalvin,OP-cody37,2025-03-16 10:10:46,Out of Spec,EQP006
WO-2025188,B2025188,PROD-004,RECIPE-PROD-004-V2,Manufacturing,pH Adjustment,pH,6.51,OP-hoffmanalvin,OP-dsmith,2025-03-16 12:10:46,Within Spec,EQP006
WO-2025188,B2025188,Product D,RECIPE-PROD-004-V2,Packaging,Final Label Check,Label Verification,Pass,OP-hoffmanalvin,OP-dana45,2025-03-16 16:10:46,Completed,PKG-LINE-01
WO-2025208,B2025208,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense API-Alpha,MAT-002,82.63,OP-hoffmanalvin,OP-veronicascott,2025-04-29 15:05:34,,N/A
WO-2025208,B2025208,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense Excipient X,MAT-001,58.74,OP-thomas69,OP-istanton,2025-04-29 15:08:34,,N/A
WO-2025208,B2025208,PROD-001,RECIPE-PROD-001-V3,Manufacturing,Heating Step,Temperature,74.7,OP-cramos,OP-rachaelclark,2025-04-29 16:44:34,Within Spec,EQP001
WO-2025208,B2025208,PROD-001,RECIPE-PROD-001-V3,Manufacturing,pH Adjustment,pH,6.75,OP-cramos,OP-kyle12,2025-04-29 18:44:34,Within Spec,EQP001
WO-2025028,B2025028,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,82.64,OP-efigueroa,OP-dsmith,2024-07-02 07:55:00,,N/A
WO-2025028,B2025028,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Excipient X,MAT-001,61.27,OP-istanton,OP-cramos,2024-07-02 08:11:00,,N/A
WO-2025028,B2025028,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,71.6,OP-garzaeric,OP-dsmith,2024-07-02 09:48:00,Within Spec,EQP005
WO-2025028,B2025028,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,7.97,OP-garzaeric,OP-efigueroa,2024-07-02 11:48:00,Out of Spec,EQP005
WO-2025028,B2025028,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-garzaeric,OP-cramos,2024-07-02 15:48:00,Completed,PKG-LINE-01
WO-2025027,B2025027,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,80.11,OP-kyle12,OP-cody37,2024-10-23 00:25:34,,N/A
WO-2025027,B2025027,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,54.0,OP-cramos,OP-thomas69,2024-10-23 00:37:34,,N/A
WO-2025027,B2025027,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,82.8,OP-veronicascott,OP-veronicascott,2024-10-23 02:13:34,Out of Spec,EQP001
WO-2025027,B2025027,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.03,OP-veronicascott,OP-kyle12,2024-10-23 04:13:34,Out of Spec,EQP001
WO-2025027,B2025027,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-veronicascott,OP-istanton,2024-10-23 08:13:34,Completed,PKG-LINE-01
WO-2025007,B2025007,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense API-Alpha,MAT-002,67.17,OP-istanton,OP-efigueroa,2024-11-25 01:40:30,,N/A
WO-2025007,B2025007,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Excipient X,MAT-001,55.0,OP-cody37,OP-john51,2024-11-25 01:18:30,,N/A
WO-2025007,B2025007,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Coating Agent Z,MAT-003,78.27,OP-thomas69,OP-cody37,2024-11-25 01:32:30,,N/A
WO-2025007,B2025007,PROD-003,RECIPE-PROD-003-V2,Manufacturing,Heating Step,Temperature,80.1,OP-rachaelclark,OP-john51,2024-11-25 03:13:30,Out of Spec,EQP005
WO-2025007,B2025007,PROD-003,RECIPE-PROD-003-V2,Manufacturing,pH Adjustment,pH,6.64,OP-rachaelclark,OP-hoffmanalvin,2024-11-25 05:13:30,Within Spec,EQP005
WO-2025186,B2025186,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Coating Agent Z,MAT-003,56.06,OP-rachaelclark,OP-wagnerjason,2025-04-14 01:35:47,,N/A
WO-2025186,B2025186,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense API-Alpha,MAT-002,53.31,OP-rachaelclark,OP-wagnerjason,2025-04-14 01:31:47,,N/A
WO-2025186,B2025186,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Excipient X,MAT-001,62.08,OP-garzaeric,OP-wagnerjason,2025-04-14 01:22:47,,N/A
WO-2025186,B2025186,PROD-003,RECIPE-PROD-003-V1,Manufacturing,Heating Step,Temperature,77.9,OP-wagnerjason,OP-dsmith,2025-04-14 03:07:47,Within Spec,EQP003
WO-2025186,B2025186,PROD-003,RECIPE-PROD-003-V1,Manufacturing,pH Adjustment,pH,7.78,OP-wagnerjason,OP-dsmith,2025-04-14 05:07:47,Out of Spec,EQP003
WO-2025213,B2025213,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense API-Alpha,MAT-002,88.74,OP-cody37,OP-wagnerjason,2025-06-15 03:02:46,,N/A
WO-2025213,B2025213,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Coating Agent Z,MAT-003,85.55,OP-hoffmanalvin,OP-john51,2025-06-15 03:00:46,,N/A
WO-2025213,B2025213,PROD-002,RECIPE-PROD-002-V2,Manufacturing,Heating Step,Temperature,76.3,OP-garzaeric,OP-dsmith,2025-06-15 04:49:46,Within Spec,EQP001
WO-2025213,B2025213,PROD-002,RECIPE-PROD-002-V2,Manufacturing,pH Adjustment,pH,6.54,OP-garzaeric,OP-veronicascott,2025-06-15 06:49:46,Within Spec,EQP001
WO-2025178,B2025178,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,99.76,OP-dsmith,OP-kyle12,2024-07-16 06:29:43,,N/A
WO-2025178,B2025178,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,94.91,OP-thomas69,OP-garzaeric,2024-07-16 06:24:43,,N/A
WO-2025178,B2025178,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,56.56,OP-john51,OP-veronicascott,2024-07-16 06:16:43,,N/A
WO-2025178,B2025178,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,74.0,OP-cody37,OP-wagnerjason,2024-07-16 08:11:43,Within Spec,EQP004
WO-2025178,B2025178,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,7.52,OP-cody37,OP-kyle12,2024-07-16 10:11:43,Out of Spec,EQP004
WO-2025074,B2025074,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense API-Alpha,MAT-002,60.86,OP-wagnerjason,OP-cody37,2025-01-26 03:31:35,,N/A
WO-2025074,B2025074,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Excipient X,MAT-001,52.38,OP-dsmith,OP-john51,2025-01-26 03:32:35,,N/A
WO-2025074,B2025074,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Coating Agent Z,MAT-003,91.79,OP-john51,OP-garzaeric,2025-01-26 03:41:35,,N/A
WO-2025074,B2025074,PROD-001,RECIPE-PROD-001-V1,Manufacturing,Heating Step,Temperature,74.6,OP-cramos,OP-rachaelclark,2025-01-26 05:12:35,Within Spec,EQP004
WO-2025074,B2025074,PROD-001,RECIPE-PROD-001-V1,Manufacturing,pH Adjustment,pH,6.71,OP-cramos,OP-wagnerjason,2025-01-26 07:12:35,Within Spec,EQP004
WO-2025160,B2025160,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense API-Alpha,MAT-002,98.42,OP-dsmith,,2024-08-09 02:08:16,,N/A
WO-2025160,B2025160,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Coating Agent Z,MAT-003,61.27,OP-veronicascott,OP-rachaelclark,2024-08-09 02:08:16,,N/A
WO-2025160,B2025160,PROD-003,RECIPE-PROD-003-V1,Manufacturing,Heating Step,Temperature,80.5,OP-hoffmanalvin,OP-dana45,2024-08-09 04:01:16,Out of Spec,EQP006
WO-2025160,B2025160,PROD-003,RECIPE-PROD-003-V1,Manufacturing,pH Adjustment,pH,6.81,OP-hoffmanalvin,OP-hoffmanalvin,2024-08-09 06:01:16,Within Spec,EQP006
WO-2025193,B2025193,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Excipient X,MAT-001,93.12,OP-garzaeric,,2025-04-22 22:37:09,,N/A
WO-2025193,B2025193,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Coating Agent Z,MAT-003,76.64,OP-rachaelclark,OP-cramos,2025-04-22 22:34:09,,N/A
WO-2025193,B2025193,PROD-001,RECIPE-PROD-001-V1,Manufacturing,Heating Step,Temperature,74.9,OP-hoffmanalvin,OP-cody37,2025-04-23 00:20:09,Within Spec,EQP007
WO-2025193,B2025193,PROD-001,RECIPE-PROD-001-V1,Manufacturing,pH Adjustment,pH,6.68,OP-hoffmanalvin,OP-dana45,2025-04-23 02:20:09,Within Spec,EQP007
WO-2025015,B2025015,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense Excipient X,MAT-001,70.37,OP-wagnerjason,,2025-01-17 22:12:29,,N/A
WO-2025015,B2025015,PROD-001,RECIPE-PROD-001-V2,Dispensing,Dispense API-Alpha,MAT-002,84.31,OP-efigueroa,OP-rachaelclark,2025-01-17 22:05:29,,N/A
WO-2025015,B2025015,PROD-001,RECIPE-PROD-001-V2,Manufacturing,Heating Step,Temperature,74.9,OP-john51,OP-dana45,2025-01-17 23:56:29,Within Spec,EQP003
WO-2025015,B2025015,PROD-001,RECIPE-PROD-001-V2,Manufacturing,pH Adjustment,pH,6.54,OP-john51,OP-cramos,2025-01-18 01:56:29,Within Spec,EQP003
WO-2025038,B2025038,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense API-Alpha,MAT-002,84.69,OP-veronicascott,OP-rachaelclark,2025-04-06 12:43:03,,N/A
WO-2025038,B2025038,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Excipient X,MAT-001,55.1,OP-thomas69,OP-kyle12,2025-04-06 12:36:03,,N/A
WO-2025038,B2025038,PROD-003,RECIPE-PROD-003-V2,Dispensing,Dispense Coating Agent Z,MAT-003,69.57,OP-dana45,OP-garzaeric,2025-04-06 12:28:03,,N/A
WO-2025038,B2025038,PROD-003,RECIPE-PROD-003-V2,Manufacturing,Heating Step,Temperature,77.8,OP-kyle12,OP-cramos,2025-04-06 14:21:03,Within Spec,EQP002
WO-2025038,B2025038,PROD-003,RECIPE-PROD-003-V2,Manufacturing,pH Adjustment,pH,6.67,OP-kyle12,OP-cody37,2025-04-06 16:21:03,Within Spec,EQP002
WO-2025180,B2025180,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense API-Alpha,MAT-002,67.76,OP-john51,OP-wagnerjason,2024-08-14 22:19:23,,N/A
WO-2025180,B2025180,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense Excipient X,MAT-001,54.98,OP-dsmith,OP-garzaeric,2024-08-14 22:13:23,,N/A
WO-2025180,B2025180,PROD-001,RECIPE-PROD-001-V3,Manufacturing,Heating Step,Temperature,75.3,OP-dsmith,OP-john51,2024-08-15 00:07:23,Within Spec,EQP003
WO-2025180,B2025180,PROD-001,RECIPE-PROD-001-V3,Manufacturing,pH Adjustment,pH,6.68,OP-dsmith,OP-cody37,2024-08-15 02:07:23,Within Spec,EQP003
WO-2025179,B2025179,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Excipient X,MAT-001,84.05,OP-istanton,,2024-08-08 03:56:01,,N/A
WO-2025179,B2025179,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Coating Agent Z,MAT-003,67.21,OP-kyle12,OP-garzaeric,2024-08-08 03:56:01,,N/A
WO-2025179,B2025179,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense API-Alpha,MAT-002,87.77,OP-istanton,OP-kyle12,2024-08-08 03:56:01,,N/A
WO-2025179,B2025179,PROD-001,RECIPE-PROD-001-V1,Manufacturing,Heating Step,Temperature,75.5,OP-veronicascott,OP-garzaeric,2024-08-08 05:44:01,Within Spec,EQP001
WO-2025179,B2025179,PROD-001,RECIPE-PROD-001-V1,Manufacturing,pH Adjustment,pH,6.52,OP-veronicascott,OP-kyle12,2024-08-08 07:44:01,Within Spec,EQP001
WO-2025102,B2025102,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,72.75,OP-efigueroa,OP-thomas69,2025-03-23 14:22:39,,N/A
WO-2025102,B2025102,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,82.88,OP-rachaelclark,OP-cody37,2025-03-23 14:06:39,,N/A
